VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TEXCOORD0.x, TEXCOORD0.y
0, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
1, 386,  0.10079, -0.48823, -9.53674E-09,  0.20326, -0.97913,  0.00,  0.49871,  0.09757
2, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
3, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
4, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
5, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
6, 173,  0.26371, -0.38524, -0.17488,  0.52726, -0.77461, -0.34924,  0.40558,  0.25079
7, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
8, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
9, 173,  0.26371, -0.38524, -0.17488,  0.52726, -0.77461, -0.34924,  0.40558,  0.25079
10, 176,  0.2755, -0.40558, -0.09021,  0.55085, -0.81484, -0.18054,  0.44838,  0.23788
11, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
12, 176,  0.2755, -0.40558, -0.09021,  0.55085, -0.81484, -0.18054,  0.44838,  0.23788
13, 108,  0.19561, -0.45855,  1.94549E-08,  0.38897, -0.92125,  0.00,  0.49871,  0.16957
14, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
15, 177,  0.192, -0.45026, -0.09451,  0.38282, -0.90434, -0.18873,  0.42596,  0.17527
16, 108,  0.19561, -0.45855,  1.94549E-08,  0.38897, -0.92125,  0.00,  0.49871,  0.16957
17, 109,  0.10079, -0.48823, -9.53674E-09,  0.20326, -0.97913,  0.00,  0.49871,  0.09757
18, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
19, 109,  0.10079, -0.48823, -9.53674E-09,  0.20326, -0.97913,  0.00,  0.49871,  0.09757
20, 8,  0.00, -0.50,  0.00,  0.00, -1.00,  0.00,  0.37346,  0.02176
21, 205,  0.09875, -0.47857,  0.09875,  0.19821, -0.95991,  0.19821,  0.61508,  0.13211
22, 109,  0.10079, -0.48823, -9.53674E-09,  0.20326, -0.97913,  0.00,  0.49871,  0.09757
23, 108,  0.19561, -0.45855,  1.94549E-08,  0.38897, -0.92125,  0.00,  0.49871,  0.16957
24, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
25, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
26, 175,  0.09451, -0.45026, -0.192,  0.18873, -0.90434, -0.38282,  0.32164,  0.18563
27, 175,  0.09451, -0.45026, -0.192,  0.18873, -0.90434, -0.38282,  0.32164,  0.18563
28, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
29, 100, -1.18255E-08, -0.48823, -0.10079,  0.00, -0.97913, -0.20326,  0.24889,  0.10205
30, 178,  0.09875, -0.47857, -0.09875,  0.19821, -0.95991, -0.19821,  0.37258,  0.13363
31, 387,  0.00, -0.50,  0.00,  0.00, -1.00,  0.00,  0.37346,  0.02176
32, 100, -1.18255E-08, -0.48823, -0.10079,  0.00, -0.97913, -0.20326,  0.24889,  0.10205
33, 170,  0.2485, -0.35359, -0.2485,  0.49635, -0.71223, -0.49635,  0.3738,  0.2834
34, 173,  0.26371, -0.38524, -0.17488,  0.52726, -0.77461, -0.34924,  0.40558,  0.25079
35, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
36, 171,  0.17488, -0.38524, -0.26371,  0.34924, -0.77461, -0.52726,  0.34202,  0.25079
37, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
38, 175,  0.09451, -0.45026, -0.192,  0.18873, -0.90434, -0.38282,  0.32164,  0.18563
39, 170,  0.2485, -0.35359, -0.2485,  0.49635, -0.71223, -0.49635,  0.3738,  0.2834
40, 174,  0.18394, -0.42528, -0.18394,  0.36702, -0.85475, -0.36702,  0.3738,  0.21422
41, 171,  0.17488, -0.38524, -0.26371,  0.34924, -0.77461, -0.52726,  0.34202,  0.25079
42, 48,  0.33135, -0.33135, -0.17014,  0.6647, -0.6647, -0.3411,  0.42326,  0.29056
43, 176,  0.2755, -0.40558, -0.09021,  0.55085, -0.81484, -0.18054,  0.44838,  0.23788
44, 173,  0.26371, -0.38524, -0.17488,  0.52726, -0.77461, -0.34924,  0.40558,  0.25079
